# Altium Pin Report File

Pin Designator,Net Name,Display Name,IO Bank,IO Standard,Slew Rate,Drive Strength,IO Pin,Vref Pin,CLK Pin,Config Pin,Special Pin,Group,Differential Pair
A1,VCC1V8,VCCO 35,,,,,,,,,,,
A2,USRUSB_VMO,IO L20N T3 35,,,,,,,,,,,
A3,USRUSB_VPO,IO L20P T3 35,,,,,,,,,,,
A4,,IO L16N T2 35,,,,,,,,,,,
A5,,IO L15N T2 DQS 35,,,,,,,,,,,
A6,GND,GND,,,,,,,,,,,
A7,,MGTPTXN0 216,,,,,,,,,,,
A8,GND,GND,,,,,,,,,,,
A9,,MGTPTXN2 216,,,,,,,,,,,
A10,GND,GND,,,,,,,,,,,
A11,,MGTPRXN0 216,,,,,,,,,,,
A12,GND,GND,,,,,,,,,,,
A13,,MGTPRXN2 216,,,,,,,,,,,
A14,GND,GND,,,,,,,,,,,
A15,GND,MGTRREF 216,,,,,,,,,,,
A16,GND,GND,,,,,,,,,,,
A17,,IO L9P T1 DQS 16,,,,,,,,,,,
A18,,IO L9N T1 DQS 16,,,,,,,,,,,
A19,,IO L10N T1 16,,,,,,,,,,,
A20,APPSPI_CS,IO L15N T2 DQS 16,,,,,,,,,,,
A21,VCCIO,VCCO 16,,,,,,,,,,,
A22,,IO L17N T2 16,,,,,,,,,,,
A23,,IO L21P T3 DQS 16,,,,,,,,,,,
A24,,IO L21N T3 DQS 16,,,,,,,,,,,
A25,,IO L20N T3 16,,,,,,,,,,,
A26,GND,GND,,,,,,,,,,,
AA1,VCCIO,VCCO 33,,,,,,,,,,,
AA2,EX0_28,IO L12N T1 MRCC 33,,,,,,,,,,,
AA3,EX0_39,IO L12P T1 MRCC 33,,,,,,,,,,,
AA4,EX0_37,IO L13P T2 MRCC 33,,,,,,,,,,,
AA5,EX0_35,IO L22P T3 33,,,,,,,,,,,
AA6,GND,GND,,,,,,,,,,,
AA7,EX0_15,IO L19N T3 VREF 33,,,,,,,,,,,
AA8,EX0_11,IO L23N T3 33,,,,,,,,,,,
AA9,GND,GND,,,,,,,,,,,
AA10,,MGTAVCC G10,,,,,,,,,,,
AA11,,MGTREFCLK1P 213,,,,,,,,,,,
AA12,,MGTAVCC G10,,,,,,,,,,,
AA13,,MGTREFCLK0P 213,,,,,,,,,,,
AA14,GND,GND,,,,,,,,,,,
AA15,,IO L23N T3 12,,,,,,,,,,,
AA16,GND,GND,,,,,,,,,,,
AA17,,IO L19P T3 12,,,,,,,,,,,
AA18,,IO L17N T2 12,,,,,,,,,,,
AA19,EX0_61,IO L13P T2 MRCC 12,,,,,,,,,,,
AA20,EX0_60,IO L12P T1 MRCC 12,,,,,,,,,,,
AA21,VCCIO,VCCO 12,,,,,,,,,,,
AA22,EX1_21,IO L8P T1 13,,,,,,,,,,,
AA23,EX1_15,IO L8N T1 13,,,,,,,,,,,
AA24,EX1_13,IO L7P T1 13,,,,,,,,,,,
