# Altium Pin Report File

Pin Designator,Net Name,Display Name,IO Bank,IO Standard,Slew Rate,Drive Strength,IO Pin,Vref Pin,CLK Pin,Config Pin,Special Pin,Group,Differential Pair
A1,HYPERRAM_DQ3,IO_L9N_T1_DQS_AD7N_35,,,,,,,,,,,
A2,GND,GND,,,,,,,,,,,
A3,ANALOG5_N,IO_L8N_T1_AD14N_35,,,,,,,,,,,
A4,ANALOG5_P,IO_L8P_T1_AD14P_35,,,,,,,,,,,
A5,ANALOG2_N,IO_L3N_T0_DQS_AD5N_35,,,,,,,,,,,
A6,ANALOG2_P,IO_L3P_T0_DQS_AD5P_35,,,,,,,,,,,
A7,VCC1V8,VCCO_35,,,,,,,,,,,
A8,APPSPI_CLK,IO_L12N_T1_MRCC_16,,,,,,,,,,,
A9,APPSPI_D3,IO_L14N_T2_SRCC_16,,,,,,,,,,,
A10,APPSPI_D2,IO_L14P_T2_SRCC_16,,,,,,,,,,,
A11,USRLED5,IO_L4N_T0_15,,,,,,,,,,,
A12,GND,GND,,,,,,,,,,,
A13,USRSW6,IO_L9P_T1_DQS_AD3P_15,,,,,,,,,,,
A14,USRSW7,IO_L9N_T1_DQS_AD3N_15,,,,,,,,,,,
A15,USRSW4,IO_L8P_T1_AD10P_15,,,,,,,,,,,
A16,USRSW5,IO_L8N_T1_AD10N_15,,,,,,,,,,,
A17,VCCIO,VCCO_15,,,,,,,,,,,
A18,NetR172_3A,IO_L10N_T1_AD11N_15,,,,,,,,,,,
B1,HYPERRAM_DQ0,IO_L9P_T1_DQS_AD7P_35,,,,,,,,,,,
B2,HYPERRAM_DQ5,IO_L10N_T1_AD15N_35,,,,,,,,,,,
B3,MICROSD_DET,IO_L10P_T1_AD15P_35,,,,,,,,,,,
B4,ANALOG4_N,IO_L7N_T1_AD6N_35,,,,,,,,,,,
B5,GND,GND,,,,,,,,,,,
B6,ANALOG1_N,IO_L2N_T0_AD12N_35,,,,,,,,,,,
B7,ANALOG1_P,IO_L2P_T0_AD12P_35,,,,,,,,,,,
B8,ANALOG5_DIGITAL,IO_L12P_T1_MRCC_16,,,,,,,,,,,
B9,ANALOG4_DIGITAL,IO_L11N_T1_SRCC_16,,,,,,,,,,,
B10,VCCIO,VCCO_16,,,,,,,,,,,
B11,USRLED4,IO_L4P_T0_15,,,,,,,,,,,
B12,USRLED3,IO_L3N_T0_DQS_AD1N_15,,,,,,,,,,,
B13,USRLED0,IO_L2P_T0_AD8P_15,,,,,,,,,,,
B14,USRLED1,IO_L2N_T0_AD8N_15,,,,,,,,,,,
B15,GND,GND,,,,,,,,,,,
B16,USRSW2,IO_L7P_T1_AD2P_15,,,,,,,,,,,
B17,USRSW3,IO_L7N_T1_AD2N_15,,,,,,,,,,,
B18,NetR172_1A,IO_L10P_T1_AD11P_15,,,,,,,,,,,
C1,HYPERRAM_DQ6,IO_L16N_T2_35,,,,,,,,,,,
C2,HYPERRAM_nRST,IO_L16P_T2_35,,,,,,,,,,,
C3,VCC1V8,VCCO_35,,,,,,,,,,,
C4,ANALOG4_P,IO_L7P_T1_AD6P_35,,,,,,,,,,,
C5,ANALOG0_N,IO_L1N_T0_AD4N_35,,,,,,,,,,,
C6,ANALOG0_P,IO_L1P_T0_AD4P_35,,,,,,,,,,,
C7,NAVSW_2,IO_L4N_T0_35,,,,,,,,,,,
C8,GND,GND,,,,,,,,,,,
C9,ANALOG3_DIGITAL,IO_L11P_T1_SRCC_16,,,,,,,,,,,
C10,APPSPI_D1,IO_L13N_T2_MRCC_16,,,,,,,,,,,
C11,APPSPI_D0,IO_L13P_T2_MRCC_16,,,,,,,,,,,
C12,USRLED2,IO_L3P_T0_DQS_AD1P_15,,,,,,,,,,,
C13,VCCIO,VCCO_15,,,,,,,,,,,
C14,ANALOG2_DIGITAL,IO_L1N_T0_AD0N_15,,,,,,,,,,,
C15,NetR173_2A,IO_L12N_T1_MRCC_15,,,,,,,,,,,
C16,USR_JTAG_TRST,IO_L20P_T3_A20_15,,,,,,,,,,,
C17,SER0_TX,IO_L20N_T3_A19_15,,,,,,,,,,,
C18,GND,GND,,,,,,,,,,,
D1,GND,GND,,,,,,,,,,,
D2,HYPERRAM_DQ7,IO_L14N_T2_SRCC_35,,,,,,,,,,,
D3,SELSW0,IO_L12N_T1_MRCC_35,,,,,,,,,,,
D4,ETHMAC_CIPO,IO_L11N_T1_SRCC_35,,,,,,,,,,,
D5,ETHMAC_COPI,IO_L11P_T1_SRCC_35,,,,,,,,,,,
D6,VCC1V8,VCCO_35,,,,,,,,,,,
D7,NAVSW_4,IO_L6N_T0_VREF_35,,,,,,,,,,,
D8,NAVSW_1,IO_L4P_T0_35,,,,,,,,,,,
D9,RGBLED0,IO_L6N_T0_VREF_16,,,,,,,,,,,
D10,APPSPI_CS,IO_L19N_T3_VREF_16,,,,,,,,,,,
D11,GND,GND,,,,,,,,,,,
D12,USRSW0,IO_L6P_T0_15,,,,,,,,,,,
D13,USRSW1,IO_L6N_T0_VREF_15,,,,,,,,,,,
