Altium Designer Pick and Place Locations
C:\dev\sonata-pcb\sonata_altium_project\Project Outputs for sonata-board\Pick Place\Pick Place for cheriot-test.csv

========================================================================================================================
File Design Information:

Date:       16-02-24
Time:       14:28
Revision:   3f192a82d6eaeda4fd3ccb303a04096ba00d6655
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R210","1k","BottomLayer","RESC1005X40N","159.3000","78.3000","270","1k res, 0402, 1%, 1/16W"
"R209","DNM RCHIP","BottomLayer","RESC1608X55N","116.8000","86.7000","180","Do Not Mount Resistor"
"R208","DNM RCHIP","BottomLayer","RESC1608X55N","116.8000","84.9000","180","Do Not Mount Resistor"
"R207","1k8","BottomLayer","RESC1608X55N","106.3000","92.5500","270","1k8 res, 0603, 1%, 1/10W"
"R206","1k8","BottomLayer","RESC1608X55N","104.1000","92.5000","270","1k8 res, 0603, 1%, 1/10W"
"R205","10k","BottomLayer","RESC1005X40N","163.8000","75.1000","180","10k res, 0402, 1%, 1/16W"
"R204","49R9","BottomLayer","RESC2012X70N","149.7000","104.7000","180","49r9 res, 0805, 1%, 1/8W"
"R198","49R9","BottomLayer","RESC2012X70N","153.1000","104.3000","0","49r9 res, 0805, 1%, 1/8W"
"R197","49R9","BottomLayer","RESC2012X70N","149.1000","91.3000","180","49r9 res, 0805, 1%, 1/8W"
"R196","49R9","BottomLayer","RESC2012X70N","152.5000","91.3000","0","49r9 res, 0805, 1%, 1/8W"
"C142","100n","BottomLayer","CAPC0402_M","154.0000","88.7000","90","100n, 0402"
"LCD1","1.8" LCD, Solder on Connector","BottomLayer","ADAFRUIT618","146.8251","50.5001","90","1.8" LCD, Solder on Connector"
"C141","100n","BottomLayer","CAPC0402_M","72.8000","93.4000","90","100n, 0402"
"R195","0R","BottomLayer","RESC1005X40N","92.9000","68.7000","90","2 ohm"
"C140","100n","BottomLayer","CAPC0402_M","86.4000","84.8000","270","100n, 0402"
"C139","100n","BottomLayer","CAPC0402_M","85.4000","84.8000","270","100n, 0402"
"R203","DNM","BottomLayer","RESC1005X40N","48.6000","68.1000","90",""
"C138","100n","BottomLayer","CAPC0402_M","65.4000","70.4000","0","100n, 0402"
"C137","100n","BottomLayer","CAPC0402_M","62.9600","57.1000","0","100n, 0402"
"C136","100n","BottomLayer","CAPC0402_M","58.9000","65.6000","90","100n, 0402"
"C135","100n","BottomLayer","CAPC0402_M","58.8000","61.7000","270","100n, 0402"
"C134","100n","BottomLayer","CAPC0402_M","71.5000","60.0400","270","100n, 0402"
"C117","100n","BottomLayer","CAPC0402_M","69.3000","71.0000","90","100n, 0402"
"R193","DNM","BottomLayer","RESC1005X40N","163.8000","76.4000","0",""
"R192","1k","BottomLayer","RESC1005X40N","163.5000","81.7000","0","1k res, 0402, 1%, 1/16W"
"Q3","BSS138","BottomLayer","SOT95P245X110-3M","163.4000","84.7000","180","MOSFET N-CH 30V 2.2A SOT23-3"
"R103","845R","BottomLayer","RESC1005X40N","116.3320","64.0080","0","845R res, 0402, 1%, 1/16W"
"U6","KSZ8851SNLI-TR","BottomLayer","FP-QFN55-32LD-PL-5-IPC_C","149.5440","84.8360","180","IC ETHERNET CTLR 1PORT PCI 32MLF"
"R57","22R","BottomLayer","RESC1005X40N","143.7640","76.1226","180","22R res, 0402, 1%, 1/16W"
"Q1","DMP2123LQ-7","BottomLayer","SOT95P245X110-3M","54.5725","90.3681","270","P-Channel, 3A, Logic Level"
"U13","TUSB1106PWR","BottomLayer","PW0016A_L","139.7000","95.5040","270","Advanced USB Transciever, Full Speed, Differential, +/-15 KV, -40 to 85 degC, 16-Pin TSSOP (PW), Green (RoHS & no Sb/Br)"
